datum,niveau,schepcorner_id,ploegnaam,ervaring_schepper,ervaring_kopper,ervaring_duo,is_thuisploeg,kwart,is_schepper_bank,is_kopper_bank,schepper_pos_rechts,positie,kop_verplaatsen_achter,kop_veel_verplaatsen,kop_hor_verplaatsen,goal,klassement_thuis,klassement_uit,uitslag_thuis,uitslag_uit,score_voor_thuis,score_voor_uit,klassement,klassement_veschil,is_degradatieplaats,is_promotieplaats,score_verschil_voor,periode,schepcorner_nummer,goal_lag_ploeg,goal_lag_wedstrijd
2024-11-22,nationaal,593,drongen,5.0,5.0,5.0,1,3,0,0,1,2,0,0,0,1,6,5,6,5,3,2,6.0,1,0,0,1,2,2,1.0,1.0
2024-11-22,nationaal,594,kortemark,5.0,5.0,5.0,0,3,0,0,1,2,0,0,0,1,6,5,6,5,4,2,5.0,1,0,0,2,2,3,1.0,1.0
2024-11-22,nationaal,595,drongen,5.0,5.0,5.0,1,4,0,0,1,2,0,0,0,1,6,5,6,5,5,4,6.0,1,0,0,1,2,4,1.0,1.0
2024-11-29,nationaal,596,waregem,5.0,5.0,5.0,1,1,0,0,1,2,0,0,0,1,10,12,8,8,1,2,10.0,2,0,0,1,2,1,0.6616915422885572,0.6616915422885572
2024-11-29,nationaal,597,waregem,5.0,5.0,5.0,1,2,0,0,1,2,0,0,0,1,10,12,8,8,3,2,10.0,2,0,0,1,2,2,1.0,1.0
2024-11-29,nationaal,598,sint gillis waas,5.0,5.0,5.0,0,2,0,0,1,2,0,0,0,1,10,12,8,8,5,2,12.0,2,1,0,3,2,3,0.0,1.0
2024-11-29,nationaal,599,sint gillis waas,5.0,5.0,5.0,0,4,0,0,1,2,0,0,0,1,10,12,8,8,7,5,12.0,2,1,0,2,2,4,1.0,1.0
2024-12-06,nationaal,600,erwetegem,5.0,5.0,5.0,0,1,0,0,1,2,0,0,0,1,5,2,6,4,0,0,2.0,3,0,1,0,3,1,0.0,0.6616915422885572
2024-12-06,nationaal,601,erwetegem,5.0,5.0,5.0,0,3,0,0,1,2,0,0,0,1,5,2,6,4,2,2,2.0,3,0,1,0,3,2,1.0,1.0
2024-12-06,nationaal,602,erwetegem,5.0,5.0,5.0,0,3,0,0,1,2,0,0,0,1,5,2,6,4,3,3,2.0,3,0,1,0,3,3,1.0,1.0
2024-12-06,nationaal,603, kortemark,5.0,5.0,5.0,1,4,0,0,1,2,1,0,0,1,5,2,6,4,3,4,5.0,3,0,0,1,3,4,0.6616915422885572,1.0
